scheduler,time,transcode_duration
weighted,275.7731,9.6682
weighted,285.2817,9.5086
weighted,294.5876,9.3059
weighted,303.9708,9.3831
weighted,313.5529,9.5821
weighted,322.9236,9.3706
weighted,332.2559,9.3322
weighted,341.6654,9.4095
weighted,351.1382,9.4727
weighted,360.5490,9.4107
weighted,371.4972,10.9482
weighted,382.3082,10.8109
weighted,392.9365,10.6283
weighted,403.2175,10.2809
weighted,413.5199,10.3024
weighted,423.9097,10.3897
weighted,433.7152,9.8055
weighted,443.7227,10.0075
weighted,453.6581,9.9354
weighted,463.6176,9.9594
weighted,473.6220,10.0044
weighted,482.9202,9.2981
weighted,492.2546,9.3344
weighted,502.0333,9.7787
weighted,511.9989,9.9656
weighted,522.2952,10.2962
weighted,532.5477,10.2525
weighted,542.9703,10.4225
weighted,556.0131,13.0427
weighted,568.2463,12.2331
weighted,580.5291,12.2828
weighted,592.4146,11.8855
weighted,604.1970,11.7823
weighted,615.6842,11.4872
weighted,627.3071,11.6228
weighted,638.7183,11.4111
weighted,650.1327,11.4144
weighted,661.6916,11.5588
weighted,673.1245,11.4329
weighted,684.7519,11.6273
weighted,696.1590,11.4071
weighted,707.8235,11.6644
weighted,719.3235,11.4999
weighted,733.1536,13.8301
weighted,747.6687,14.5150
weighted,762.1546,14.4859
weighted,776.9730,14.8184
weighted,791.6825,14.7095
weighted,806.6398,14.9572
weighted,821.2843,14.6444
weighted,836.0405,14.7561
weighted,850.5839,14.5434
weighted,865.1705,14.5865
weighted,879.7979,14.6274
weighted,894.3522,14.5542
weighted,908.2760,13.9238
weighted,919.0291,10.7531
weighted,930.6081,11.5789
weighted,942.1310,11.5229
weighted,954.3549,12.2239
weighted,966.4279,12.0729
weighted,978.7069,12.2790
weighted,991.1975,12.4905
weighted,1002.5941,11.3966
weighted,1013.9983,11.4041
weighted,1025.9791,11.9808
weighted,1038.1287,12.1496
weighted,1050.3910,12.2623
weighted,1062.1430,11.7519
weighted,1074.2484,12.1054
weighted,1086.1948,11.9463
weighted,1096.6820,10.4871
weighted,1106.6141,9.9321
weighted,1115.2690,8.6548
weighted,1124.5235,9.2545
weighted,1133.9966,9.4731
weighted,1144.3742,10.3776
weighted,1154.6411,10.2669
weighted,1164.7670,10.1259
weighted,1174.4062,9.6392
weighted,1183.8566,9.4504
weighted,1194.6424,10.7858
weighted,1203.7658,9.1233
weighted,1214.1341,10.3683
weighted,1224.4441,10.3100
weighted,1234.9846,10.5404
weighted,1244.7573,9.7727
weighted,1254.1109,9.3536
weighted,1264.8393,10.7284
pinned,12.0047,12.0047
pinned,24.0639,12.0592
pinned,35.8759,11.8119
pinned,47.8141,11.9381
pinned,59.7475,11.9334
pinned,72.0186,12.2710
pinned,84.0684,12.0498
pinned,96.1740,12.1055
pinned,108.2998,12.1258
pinned,120.2294,11.9295
pinned,132.2994,12.0699
pinned,144.4777,12.1783
pinned,156.5143,12.0365
pinned,168.5427,12.0283
pinned,180.3996,11.8568
pinned,192.2014,11.8018
pinned,203.8689,11.6675
pinned,215.7714,11.9025
pinned,227.9945,12.2231
pinned,240.3449,12.3504
pinned,252.4947,12.1497
pinned,264.7048,12.2101
pinned,277.0422,12.3374
pinned,289.0489,12.0066
pinned,300.8018,11.7529
pinned,312.8246,12.0228
pinned,324.7518,11.9272
pinned,336.9860,12.2341
pinned,348.2177,11.2317
pinned,359.5796,11.3619
pinned,371.6905,12.1108
pinned,383.9731,12.2826
pinned,396.1647,12.1916
pinned,407.7485,11.5838
pinned,419.7154,11.9668
pinned,431.5495,11.8341
pinned,443.2445,11.6949
pinned,455.3241,12.0796
pinned,467.4385,12.1144
pinned,479.5613,12.1228
pinned,491.6371,12.0757
pinned,503.4727,11.8356
pinned,515.5079,12.0351
pinned,527.7402,12.2323
pinned,539.7512,12.0109
pinned,551.9450,12.1938
pinned,563.9735,12.0284
pinned,576.2153,12.2418
pinned,588.4763,12.2610
pinned,600.5177,12.0414
pinned,612.7443,12.2266
pinned,624.9477,12.2033
pinned,637.1942,12.2464
pinned,649.4709,12.2767
pinned,661.6712,12.2002
pinned,673.6873,12.0160
pinned,685.9504,12.2631
pinned,698.0805,12.1299
pinned,709.9780,11.8974
pinned,722.1179,12.1399
pinned,733.9700,11.8520
pinned,745.8798,11.9097
pinned,757.0180,11.1382
pinned,768.0860,11.0679
pinned,779.2118,11.1257
pinned,790.6758,11.4639
pinned,802.4903,11.8145
pinned,814.3086,11.8182
pinned,826.1435,11.8349
pinned,837.7976,11.6541
pinned,849.9147,12.1171
pinned,862.0611,12.1463
pinned,873.9631,11.9019
pinned,885.9944,12.0313
pinned,898.0102,12.0157
pinned,910.1022,12.0920
pinned,922.1040,12.0018
pinned,933.2753,11.1713
pinned,944.5331,11.2577
pinned,955.7501,11.2170
pinned,967.2767,11.5265
pinned,978.8859,11.6092
pinned,990.4594,11.5734
pinned,1002.5555,12.0960
pinned,1014.3370,11.7814
pinned,1026.3358,11.9988
pinned,1038.5077,12.1718
pinned,1050.6962,12.1885
pinned,1062.7946,12.0983
pinned,1074.9947,12.2000
