weight_ratio,target_threads,contention_threads,target_runtime,contention_runtime
0.1875,2,17,39789.050,199819.413
0.1875,2,18,32583.930,207017.290
0.1875,3,7,52546.515,187064.707
0.1875,3,8,46386.100,193243.760
0.1875,3,9,42800.494,196816.235
0.1875,3,10,39525.434,200140.246
0.1875,3,11,38442.787,201188.506
0.1875,3,12,41880.447,197779.322
0.1875,3,13,38518.384,201145.740
0.1875,3,14,43910.535,195733.385
0.1875,3,15,43019.098,196610.197
0.1875,3,16,43769.180,195856.061
0.1875,3,17,45649.272,193982.630
0.1875,3,18,45677.819,193954.384
0.1875,4,7,53960.371,185675.146
0.1875,4,8,38857.184,200773.276
0.1875,4,9,40905.745,198726.110
0.1875,4,10,28771.576,210850.599
0.1875,4,11,42077.283,197546.893
0.1875,4,12,28775.083,210850.740
0.1875,4,13,36208.290,203415.492
0.1875,4,14,45669.180,193945.726
0.1875,4,15,43896.387,195713.906
0.1875,4,16,41170.563,198449.087
0.1875,4,17,41096.517,198514.873
0.1875,4,18,35092.428,204511.867
0.1875,5,7,50145.109,189475.399
0.1875,5,8,40505.648,199119.216
0.1875,5,9,41449.814,198171.863
0.1875,5,10,37373.887,202244.792
0.1875,5,11,41955.744,197662.919
0.1875,5,12,39221.556,200399.883
0.1875,5,13,45265.400,194356.620
0.1875,5,14,40317.526,199300.000
0.1875,5,15,42908.872,196684.999
0.1875,5,16,41284.416,198309.268
0.1875,5,17,42857.602,196735.960
0.1875,5,18,38744.478,200852.206
0.1875,6,7,47602.618,192007.930
0.1875,6,8,43312.810,196293.826
0.1875,6,9,42877.740,196751.767
0.1875,6,10,39095.553,200507.964
0.1875,6,11,39222.488,200386.642
0.1875,6,12,39704.893,199902.822
0.1875,6,13,38515.481,201113.147
0.1875,6,14,44248.258,195351.652
0.1875,6,15,43443.579,196165.306
0.1875,6,16,42620.970,196987.345
0.1875,6,17,44485.946,195122.541
0.1875,6,18,41008.473,198601.780
0.1875,7,7,46822.549,192793.365
0.1875,7,8,43722.949,195896.018
0.1875,7,9,42476.438,197133.680
0.1875,7,10,39448.324,200164.464
0.1875,7,11,44148.977,195464.902
0.1875,7,12,46835.072,192779.479
0.1875,7,13,44755.403,194861.910
0.1875,7,14,43681.501,195924.207
0.1875,7,15,44480.867,195124.844
0.1875,7,16,43573.059,196036.142
0.1875,7,17,45818.333,193792.946
0.1875,7,18,43916.764,195696.155
0.1875,8,7,45210.648,194409.155
0.1875,8,8,44895.766,194743.461
0.1875,8,9,42644.372,196969.072
0.1875,8,10,44309.762,195294.114
0.1875,8,11,42013.079,197600.054
0.1875,8,12,44666.823,194944.643
0.1875,8,13,42065.190,197545.880
0.1875,8,14,45046.931,194562.592
0.1875,8,15,43667.559,195940.792
0.1875,8,16,44831.691,194775.933
0.1875,8,17,41540.100,198062.404
0.1875,8,18,44938.592,194672.396
0.1875,9,7,48066.274,191548.221
0.1875,9,8,43889.707,195732.922
0.1875,9,9,42297.292,197327.019
0.1875,9,10,43552.338,196059.610
0.1875,9,11,41873.664,197738.430
0.1875,9,12,43693.538,195918.535
0.1875,9,13,46023.367,193588.974
0.1875,9,14,44938.024,194672.811
0.1875,9,15,44992.349,194620.867
0.1875,9,16,44112.392,195494.848
0.1875,9,17,42859.420,196610.389
0.1875,9,18,44298.929,195309.783
0.1875,10,7,46385.853,193234.309
0.1875,10,8,43982.248,195642.386
0.1875,10,9,42987.120,196629.902
0.1875,10,10,38864.391,200751.189
0.1875,10,11,41254.140,198360.783
0.1875,10,12,45798.214,193822.445
0.1875,10,13,44657.327,194968.209
0.1875,10,14,44749.886,194866.683
0.1875,10,15,44728.460,194885.362
0.1875,10,16,43931.517,195688.684
0.1875,10,17,43417.748,196200.123
0.1875,10,18,44248.924,195365.671
0.1875,11,7,45572.419,194055.623
0.1875,11,8,43970.001,195659.791
0.1875,11,9,42364.911,197248.957
0.1875,11,10,39059.775,200555.908
0.1875,11,11,41372.223,198242.212
0.1875,11,12,46664.928,192951.504
0.1875,11,13,46142.129,193474.850
0.1875,11,14,45487.257,194127.161
0.1875,11,15,43990.435,195631.453
0.1875,11,16,43816.387,195802.416
0.1875,11,17,43651.619,195962.313
0.1875,11,18,45058.479,194558.120
0.1875,12,7,47510.540,192110.119
0.1875,12,8,44185.334,195439.898
0.1875,12,9,43195.370,196430.821
0.1875,12,10,37868.659,201745.170
0.1875,12,11,41391.918,198229.870
0.1875,12,12,44458.236,195161.975
0.1875,12,13,47181.243,192437.403
0.1875,12,14,44921.563,194692.778
0.1875,12,15,45241.497,194376.432
0.1875,12,16,43828.489,195785.027
0.1875,12,17,44683.025,194866.722
0.1875,12,18,44370.017,195240.995
