scheduler,time,page_load_duration
weighted,0.19719743728637695,0.1971974372863769
weighted,3.192495837286377,0.1791496276855468
weighted,6.192532837286376,0.1749148368835449
weighted,9.213402837286377,0.1946141719818115
weighted,12.22887083728638,0.2106561660766601
weighted,15.203056837286379,0.1830420494079589
weighted,18.190829837286376,0.180110216140747
weighted,21.20110783728638,0.1941635608673095
weighted,24.195175837286378,0.196547269821167
weighted,27.19181483728638,0.1759459972381591
weighted,30.212307837286374,0.1909480094909668
weighted,33.22286283728638,0.1929850578308105
weighted,36.22966983728638,0.2305524349212646
weighted,39.21608383728638,0.2161214351654052
weighted,42.240165837286376,0.2138245105743408
weighted,45.21526983728638,0.1934256553649902
weighted,48.212875837286376,0.1979191303253173
weighted,51.21829683728638,0.2166635990142822
weighted,54.225469837286376,0.2083222866058349
weighted,57.228534837286375,0.2135498523712158
weighted,60.24308483728638,0.227055549621582
weighted,63.21708983728637,0.1956574916839599
weighted,66.21975383728638,0.1944806575775146
weighted,69.21044583728637,0.2142441272735595
weighted,72.22966483728636,0.1994242668151855
weighted,75.22666983728637,0.2148933410644531
weighted,78.22433983728637,0.2120172977447509
weighted,81.24205483728637,0.227571964263916
weighted,84.21765983728638,0.1947753429412841
weighted,87.22199983728638,0.2110433578491211
weighted,90.22094983728637,0.2010345458984375
weighted,93.20552983728638,0.1918914318084716
weighted,96.22805983728637,0.2265655994415283
weighted,99.24719983728637,0.2243731021881103
weighted,102.20926983728637,0.1927077770233154
weighted,105.20750983728637,0.1947934627532959
weighted,108.22647483728637,0.1985790729522705
weighted,111.20598983728637,0.1892192363739013
weighted,114.23796983728637,0.2244260311126709
weighted,117.22184383728637,0.1958694458007812
weighted,120.22457583728637,0.2038991451263427
weighted,123.24417983728638,0.2253637313842773
weighted,126.22434983728637,0.2250893115997314
weighted,129.2327098372864,0.2094645500183105
weighted,132.19889983728638,0.199068546295166
weighted,135.22676983728638,0.2085347175598144
weighted,138.19461983728638,0.1745550632476806
weighted,141.22592983728637,0.2064669132232666
weighted,144.20777983728638,0.2079102993011474
weighted,147.1976098372864,0.1963028907775879
weighted,150.19130983728638,0.171764850616455
weighted,153.1949298372864,0.1938967704772949
weighted,156.20964983728638,0.2090399265289306
weighted,159.1980698372864,0.1998312473297119
weighted,162.2385098372864,0.225121259689331
weighted,165.21920983728637,0.2015759944915771
weighted,168.1970498372864,0.1968960762023925
weighted,171.2171298372864,0.1876277923583984
weighted,174.22353983728638,0.2050065994262695
weighted,177.2244798372864,0.228243350982666
weighted,180.25120983728638,0.2389705181121826
weighted,183.27751983728638,0.274848461151123
weighted,186.25638983728638,0.2398643493652343
weighted,189.23866983728638,0.2398791313171386
weighted,192.24108983728638,0.2279536724090576
weighted,195.25040983728638,0.2225191593170166
weighted,198.2491698372864,0.2378280162811279
weighted,201.2600198372864,0.2378389835357666
weighted,204.2551098372864,0.2353787422180175
weighted,207.2270498372864,0.2113008499145507
weighted,210.2251698372864,0.2049267292022705
weighted,213.2219698372864,0.2197053432464599
weighted,216.24858983728637,0.2390792369842529
weighted,219.24610983728638,0.2450544834136963
weighted,222.2576898372864,0.2619378566741943
weighted,225.25630983728638,0.2230970859527588
weighted,228.2541898372864,0.2333683967590332
weighted,231.22084983728638,0.2016932964324951
weighted,234.22837983728638,0.2258644104003906
weighted,237.2207798372864,0.2178747653961181
weighted,240.2036098372864,0.2061758041381836
weighted,243.21010983728638,0.1902096271514892
weighted,246.2028798372864,0.2075862884521484
weighted,249.20741983728638,0.1869819164276123
weighted,252.2037798372864,0.1892414093017578
weighted,255.2037798372864,0.1848399639129638
weighted,258.2090298372864,0.1828572750091552
weighted,261.2114398372864,0.1912298202514648
weighted,264.2221798372864,0.2169435024261474
weighted,273.2379098372864,0.2235505580902099
weighted,276.2201098372864,0.1994490623474121
weighted,279.2007098372864,0.1842517852783203
weighted,282.2099698372864,0.1805658340454101
weighted,285.25257983728636,0.2344646453857422
weighted,288.2180098372864,0.2185111045837402
weighted,291.2510798372864,0.2306790351867675
weighted,294.2454598372864,0.2272636890411377
weighted,297.2518098372864,0.2328815460205078
weighted,300.2405498372864,0.2208893299102783
weighted,303.2644498372864,0.253807783126831
weighted,306.2308798372864,0.2048878669738769
weighted,309.26554983728636,0.2472307682037353
weighted,312.2530898372864,0.236579418182373
weighted,315.2361298372864,0.2337911128997802
weighted,318.2200398372864,0.220038890838623
weighted,321.20297983728636,0.1884288787841797
weighted,324.2030098372864,0.1803722381591797
