time,system,cpu,mem_used,disk_r_ops_rate,disk_w_ops_rate,disk_r_bytes_rate,disk_w_bytes_rate,net_sent_pps,net_recv_pps,net_sent_bps,net_recv_bps
0,systemwide,14.2,2042478592,0.0,0.0,0.0,0.0,56.333333333333336,57.0,51467.0,59283.666666666664
0,rdr_proxy,14.708733333333333,650215424,0.0,0.0,0.0,0.0,56.333333333333336,54.333333333333336,51467.0,59107.666666666664
3,systemwide,17.5,2077888512,0.0,15.666666666666666,0.0,285354.6666666667,57.666666666666664,61.0,51480.333333333336,59581.0
3,rdr_proxy,14.061566666666666,672206848,0.0,15.0,0.0,214357.33333333334,57.666666666666664,56.666666666666664,51480.333333333336,59295.0
6,systemwide,1.2,2068557824,0.0,2.0,0.0,66901.33333333333,0.0,0.0,0.0,0.0
6,rdr_proxy,0.9459,672301056,0.0,1.3333333333333333,0.0,9557.333333333334,0.0,0.0,0.0,0.0
9,systemwide,0.8999999999999999,2054004736,0.0,17.0,0.0,91477.33333333333,0.3333333333333333,0.3333333333333333,22.0,22.0
9,rdr_proxy,0.5730333333333334,671940608,0.0,0.3333333333333333,0.0,9557.333333333334,0.3333333333333333,0.3333333333333333,22.0,22.0
12,systemwide,4.2,2065346560,0.0,0.6666666666666666,0.0,4096.0,0.0,0.0,0.0,0.0
12,rdr_proxy,0.5969,671334400,0.0,0.6666666666666666,0.0,4096.0,0.0,0.0,0.0,0.0
15,systemwide,1.9,2065571840,0.0,0.6666666666666666,0.0,23210.666666666668,0.3333333333333333,0.3333333333333333,22.0,22.0
15,rdr_proxy,0.7158333333333333,671358976,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.0,22.0
18,systemwide,2.1999999999999997,2065567744,0.0,2.3333333333333335,0.0,64170.666666666664,0.3333333333333333,0.3333333333333333,22.0,18.0
18,rdr_proxy,0.6534,671342592,0.0,2.6666666666666665,0.0,64170.666666666664,0.3333333333333333,0.3333333333333333,22.0,18.0
21,systemwide,0.3,2065735680,0.0,3.0,0.0,23210.666666666668,0.0,0.0,0.0,0.0
21,rdr_proxy,0.5928,671584256,0.0,2.3333333333333335,0.0,13653.333333333334,0.0,0.0,0.0,0.0
24,systemwide,1.2,2065965056,0.0,24.666666666666668,0.0,117418.66666666667,0.0,0.0,0.0,0.0
24,rdr_proxy,0.7063666666666667,671588352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,systemwide,2.1999999999999997,2066190336,0.0,0.6666666666666666,0.0,15018.666666666666,0.0,0.0,0.0,0.0
27,rdr_proxy,0.6869333333333333,671559680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,systemwide,2.1999999999999997,2065932288,0.0,0.3333333333333333,0.0,4096.0,0.0,0.0,0.0,0.0
30,rdr_proxy,1.3915333333333333,672415744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,systemwide,2.1999999999999997,2066415616,0.0,28.333333333333332,0.0,1956522.6666666667,0.6666666666666666,0.6666666666666666,44.0,44.0
33,rdr_proxy,1.3877,672002048,0.0,28.333333333333332,0.0,1914197.3333333333,0.6666666666666666,0.6666666666666666,44.0,44.0
36,systemwide,1.2999999999999998,2066644992,0.0,0.3333333333333333,0.0,1365.3333333333333,0.0,0.0,0.0,0.0
36,rdr_proxy,0.7188333333333333,671813632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
