time,system,cpu,mem_used,disk_r_ops_rate,disk_w_ops_rate,disk_r_bytes_rate,disk_w_bytes_rate,net_sent_pps,net_recv_pps,net_sent_bps,net_recv_bps
72,systemwide,587.1,1859956736,0.0,0.6666666666666666,0.0,5461.333333333333,0.6666666666666666,0.6666666666666666,28.0,28.0
72,video_trancoder,588.3173333333333,377106432,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,28.0,28.0
75,systemwide,615.5,1860186112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,video_trancoder,616.8004666666667,376832000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,systemwide,613.9,1860673536,0.0,0.6666666666666666,0.0,4096.0,0.0,0.0,0.0,0.0
78,video_trancoder,613.9659333333333,377159680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,systemwide,568.4,1850331136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,video_trancoder,569.2055333333334,365916160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,systemwide,346.09999999999997,1854971904,0.0,3.0,0.0,15018.666666666666,87.33333333333333,180.0,353216.6666666667,651947.0
84,video_trancoder,346.5111,351727616,0.0,0.0,0.0,0.0,84.66666666666667,119.66666666666667,353040.6666666667,647965.0
87,systemwide,599.9,1870270464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,video_trancoder,600.2333,378277888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,systemwide,595.4,1867563008,0.0,0.6666666666666666,0.0,4096.0,0.0,0.0,0.0,0.0
90,video_trancoder,595.7929,377851904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,systemwide,610.1,1868308480,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.0,22.0
93,video_trancoder,612.4541333333333,379101184,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.0,22.0
96,systemwide,391.6,1542844416,0.0,0.6666666666666666,0.0,5461.333333333333,27.666666666666668,58.0,223775.66666666666,251805.33333333334
96,video_trancoder,392.4088,33419264,0.0,0.0,0.0,0.0,27.666666666666668,46.666666666666664,223775.66666666666,251057.33333333334
99,systemwide,476.3,1892827136,0.0,0.6666666666666666,0.0,5461.333333333333,33.333333333333336,97.66666666666667,2200.0,580566.0
99,video_trancoder,475.29823333333337,380444672,0.0,0.0,0.0,0.0,33.333333333333336,59.666666666666664,2200.0,578058.0
102,systemwide,559.5,1882501120,0.0,0.6666666666666666,0.0,15018.666666666666,0.3333333333333333,0.3333333333333333,14.0,14.0
102,video_trancoder,558.2421333333333,379289600,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,14.0,14.0
105,systemwide,533.8,1879396352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,video_trancoder,534.8222999999999,368545792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,systemwide,332.7,1890394112,0.0,0.6666666666666666,0.0,6826.666666666667,64.0,109.66666666666667,151108.0,748218.3333333334
108,video_trancoder,334.6724,373821440,0.0,0.0,0.0,0.0,64.0,81.66666666666667,151108.0,746370.3333333334
111,systemwide,589.4,1899651072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,video_trancoder,590.263,379842560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,systemwide,538.4,1894203392,0.0,0.6666666666666666,0.0,8192.0,0.3333333333333333,0.3333333333333333,14.0,14.0
114,video_trancoder,538.6599333333334,379838464,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,14.0,14.0
117,systemwide,581.2,1884205056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,video_trancoder,583.6591333333333,369070080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,systemwide,191.1,1549950976,0.0,4.0,0.0,19114.666666666668,6.333333333333333,3.6666666666666665,196080.66666666666,416.6666666666667
120,video_trancoder,189.9718333333333,37232640,0.0,0.0,0.0,0.0,3.6666666666666665,3.6666666666666665,195904.66666666666,416.6666666666667
123,systemwide,0.6,1545465856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,video_trancoder,0.0,37232640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,systemwide,1.2,1538609152,0.0,0.6666666666666666,0.0,4096.0,0.3333333333333333,0.3333333333333333,14.0,14.0
126,video_trancoder,0.0,36675584,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,14.0,14.0
129,systemwide,1.7,1535860736,0.0,25.666666666666668,0.0,114688.0,0.6666666666666666,0.6666666666666666,162.0,187.66666666666666
129,video_trancoder,0.010566666666666667,36294656,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,162.0,187.66666666666666
132,systemwide,323.8,1860894720,0.0,0.6666666666666666,0.0,17749.333333333332,54.666666666666664,107.33333333333333,3608.0,839999.6666666666
132,video_trancoder,325.14366666666666,381403136,0.0,0.0,0.0,0.0,54.666666666666664,70.66666666666667,3608.0,837579.6666666666
135,systemwide,591.5,1860562944,0.0,0.3333333333333333,0.0,4096.0,0.0,0.0,0.0,0.0
135,video_trancoder,593.5958333333333,381296640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,systemwide,522.9,1860268032,0.0,1.0,0.0,16384.0,0.0,0.0,0.0,0.0
138,video_trancoder,524.7963333333333,381706240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,systemwide,305.5,1748017152,0.0,0.0,0.0,0.0,49.666666666666664,114.0,150789.33333333334,731160.0
141,video_trancoder,306.2219,265338880,0.0,0.0,0.0,0.0,49.666666666666664,90.0,150789.33333333334,729576.0
144,systemwide,502.9,1850433536,0.0,0.6666666666666666,0.0,6826.666666666667,0.0,0.0,0.0,0.0
144,video_trancoder,505.76326666666665,379830272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,systemwide,565.3,1850687488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,video_trancoder,567.6607666666666,379494400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
